date,GOOGL,MSFT,FB,ORCL,INTC,CSCO,IBM,QCOM,TXN,AVGO,NVDA,ADBE,CRM,ADP,ITW,YHOO
20140320,-0.001743,0.026993,-0.018611,-0.004669,0.016187,0.009246,0.01727,0.016861,0.031415,0.013973,0.000808,0.012716,0.011809,0.000639,0.0,-0.021756
20140321,-0.011795,-0.004215,0.004032,-0.022674,-0.010029,-0.008704,-0.006546,0.001152,0.00426,-0.021589,-0.001615,-0.019711,-0.035352,-0.007531,0.001116,0.004501
20140324,-0.021225,0.008466,-0.046698,0.018133,-0.001986,-0.003235,0.008464,-0.005755,-0.012301,-0.011581,-0.004854,-0.028299,-0.011748,-0.01672,-0.007677,-0.03321
20140325,0.000682,-0.003951,0.012325,0.005762,0.013535,0.035698,0.036069,0.010548,0.002577,0.0133,0.0,0.008737,0.005146,0.003009,0.013476,-0.020447
20140326,-0.023086,-0.013634,-0.069425,0.017708,-0.003252,-0.000895,-0.012408,-0.003182,-0.006425,-0.018594,-0.022764,-0.029023,-0.025419,-0.00626,-0.006772,-0.013359
20140327,-0.015628,-0.010807,0.009688,0.004094,-0.002648,-0.013441,-0.014484,0.00945,-0.006682,-0.000478,-0.013311,0.009859,0.013766,0.006168,-0.010289,0.003949
20140328,0.005268,0.023882,-0.015745,0.00841,0.012248,0.014078,0.003266,0.002909,0.012153,0.021185,0.006183,0.005424,-0.003931,0.003652,0.011523,0.00871
20140331,-0.005035,0.017122,0.003833,0.033864,0.007572,0.003807,0.010712,-0.005298,0.011149,0.00468,0.000559,0.013255,0.024036,0.004029,0.007058,0.0
20140401,0.018286,0.01049,0.039509,0.014178,0.006818,0.03056,0.010442,0.015724,0.007846,0.009936,0.041318,0.00289,0.029953,0.003106,0.010697,0.016435
20140402,0.000185,-0.00169,0.001597,-0.008677,-0.003848,-0.004762,-0.004884,0.000499,0.001894,-0.006303,-0.006434,-0.006825,-0.011054,0.002194,0.011557,0.004111
20140403,0.005399,-0.008222,-0.051499,-0.018478,0.020085,0.00435,-0.004443,0.005116,0.00147,-0.010984,0.010793,-0.046274,-0.041445,-0.003862,0.005652,-0.024017
20140404,-0.045932,-0.027798,-0.046075,-0.009661,-0.009466,-0.016384,-0.004774,-0.025078,-0.028308,-0.033318,-0.030966,-0.018094,-0.023861,-0.020034,-0.000598,-0.041946
20140407,-0.008473,-0.001756,0.003542,-0.012756,0.012424,0.006089,0.01434,-0.00573,-0.001942,-0.023301,0.003306,-0.013862,-0.008087,-0.007254,-0.01771,-0.034734
20140408,0.031223,0.000503,0.021775,0.019508,0.016047,0.003939,-0.006323,0.010374,0.011243,-0.003148,0.035695,0.022325,0.022976,0.003853,0.002071,0.022982
20140409,0.017094,0.016323,0.072519,0.015905,0.002601,0.007847,0.017332,0.013183,0.010049,0.038225,-0.00106,0.026529,0.031516,0.004235,0.013251,0.030742
20140410,-0.035888,-0.027428,-0.052075,-0.026663,-0.020571,-0.020329,-0.004882,-0.02327,-0.036198,-0.04178,-0.024416,-0.031043,-0.042142,-0.008698,-0.016437,-0.042157
20140411,-0.016335,-0.003836,-0.010649,-0.020357,-0.009275,-0.008389,-0.002504,-0.000769,-0.01208,-0.022219,-0.014146,-0.0161,-0.030797,-0.019809,-0.008661,-0.015916
20140414,0.013835,-0.00074,0.006151,0.015136,0.014519,0.017364,0.013218,0.014485,0.007559,0.004955,0.011037,0.014711,0.017212,0.006917,0.004553,0.017543
20140415,0.00642,0.014548,0.003396,0.004043,0.007907,0.001751,-0.003792,0.004423,0.010812,0.00204,0.007096,0.011647,0.026962,0.011315,0.006369,0.022873
20140416,0.027702,0.016352,0.010662,0.010068,0.005977,0.006116,-0.003147,0.00868,-0.013098,0.006278,0.002168,0.015055,0.01358,0.004662,0.014484,0.062555
20140417,-0.03646,-0.009654,-0.013061,-0.001246,0.004085,0.007816,-0.032536,0.014218,0.013714,0.02664,0.003786,0.015863,0.002144,0.011666,0.010318,0.000825
20140421,-0.007307,-0.00175,0.039023,0.003992,-0.003328,0.008186,0.011894,-0.004796,0.00611,0.016423,0.008082,0.00406,0.000178,-0.003276,0.004631,0.00055
20140422,0.011365,0.001252,0.029231,0.005467,-0.004082,0.005128,-0.000624,-0.003954,0.01041,0.025044,0.008552,0.002799,0.017287,0.00355,0.006028,-0.007143
20140423,-0.014647,-0.007502,-0.026497,-0.01656,-0.003353,-0.00085,-0.002186,0.001241,-0.00279,0.018285,0.011659,-0.001396,-0.025228,-0.000524,0.003407,-0.019369
20140424,-0.005712,0.004283,-0.007986,-0.001005,0.0,-0.007234,-0.007876,-0.035188,0.043263,0.012074,0.008905,-0.01817,-0.016355,0.004326,0.002459,-0.005643
20140425,-0.021219,0.001254,-0.051914,-0.007547,-0.018318,-0.014145,-0.003102,-0.003339,-0.043945,-0.046497,-0.027518,-0.025467,-0.035264,-0.012529,-0.013316,-0.021566
20140428,-0.000229,0.024054,-0.027205,0.017237,0.002666,0.00087,0.01851,0.005669,-0.019206,-0.025024,-0.004271,-0.01964,-0.069508,0.000264,0.000118,-0.014211
20140429,0.025527,-0.008808,0.035803,-0.000498,0.005697,0.006082,0.0102,0.006022,0.014741,0.002303,0.002145,0.008444,0.033177,0.01731,0.003433,0.054134
20140430,-0.002704,-0.002715,0.028031,0.019197,0.007931,-0.002159,0.00697,0.00242,-0.014527,0.042351,-0.011771,0.012806,0.017534,0.012599,0.005427,0.003349
20140501,0.006824,-0.009901,0.022917,0.002202,-0.008992,-0.004327,-0.014964,0.003557,-0.004841,-0.000157,0.005414,0.014589,0.008325,-0.004361,0.000587,0.015577
20140502,-0.008653,-0.00775,-0.011284,-0.003905,-0.001512,-0.003042,-0.010799,0.0,0.01216,0.012285,-0.007539,-0.016456,0.006912,-0.001031,0.001759,0.00986
20140505,0.002735,-0.006551,0.01257,0.009801,-0.009087,0.000654,-0.00094,0.007216,-0.001311,-0.000311,0.010852,-0.001949,0.023074,0.004256,0.001405,0.001085
